,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",AprÃ¨s-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
382,49-degrees-north-mountain-resort,North America,USA,Washington State,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,1760.0,20.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,65.0,US Dollar,3.5,3.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,alyeska-resort-girdwood,North America,USA,Alaska,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,840.0,14.0,31.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,50.0,US Dollar,3.4,3.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,aussois,Europe,France,Auvergne-RhÃ´ne-Alpes,https://www.skiresort.info/ski-resort/aussois/,2750.0,30.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,28.0,European Euro,3.4,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,pila,Europe,Italy,Aosta Valley (Valle d'Aosta),https://www.skiresort.info/ski-resort/pila/,2740.0,8.3,35.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,47.0,42.0,33.0,European Euro,3.3,3.6,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,gore-mountain,North America,USA,New York,https://www.skiresort.info/ski-resort/gore-mountain/,1097.0,6.7,28.2,23.3,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,80.0,US Dollar,3.3,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,soerenberg-rothorndorf,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/soerenberg-rothorndorf/,2350.0,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,43.0,27.0,Swiss Franc,3.5,3.9,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,bogus-basin,North America,USA,Idaho,https://www.skiresort.info/ski-resort/bogus-basin/,2311.0,11.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,52.0,29.0,US Dollar,3.2,3.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,riserva-bianca-limone-piemonte,Europe,Italy,Piedmont (Piemonte),https://www.skiresort.info/ski-resort/riserva-bianca-limone-piemonte/,2060.0,7.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,10.0,European Euro,3.3,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,kirkwood,North America,USA,Western United States,https://www.skiresort.info/ski-resort/kirkwood/,2987.0,15.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,121.0,98.0,US Dollar,3.5,3.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,bridger-bowl-bozeman,North America,USA,Montana,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,2682.0,20.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,59.0,43.0,US Dollar,3.6,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,loon-mountain,North America,USA,New Hampshire,https://www.skiresort.info/ski-resort/loon-mountain/,930.0,13.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,94.0,0.0,US Dollar,3.1,3.4,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,kiroro,Asia,Japan,Hokkaido,https://www.skiresort.info/ski-resort/kiroro/,1180.0,8.6,10.6,10.8,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,5200.0,3100.0,Japanese Yen,2.8,3.2,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,lake-songhua-resort,Asia,China,Jilin,https://www.skiresort.info/ski-resort/lake-songhua-resort/,900.0,15.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,2.8,3.1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,buerchentoerbel-moosalp,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/buerchentoerbel-moosalp/,2550.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,41.0,33.0,Swiss Franc,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,bialka-tatrzanska-kotelnicakaniowkabania,Europe,Poland,Lesser Poland (WojewÃ³dztwo maÅopolskie),https://www.skiresort.info/ski-resort/bialka-tatrzanska-kotelnicakaniowkabania/,910.0,14.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,130.0,Polish zloty,2.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,grebenzen-st-lambrecht,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/grebenzen-st-lambrecht/,1870.0,2.9,9.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,39.0,32.0,23.0,European Euro,2.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,gaalaa,Europe,Norway,Oppland,https://www.skiresort.info/ski-resort/gaalaa/,1148.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,280.0,Norwegian krone,2.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,grasgehren-bolgengrat,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/grasgehren-bolgengrat/,1655.0,3.1,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,26.0,18.0,European Euro,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,alpenpark-neuss,Europe,Germany,North Rhine-Westphalia (Nordrhein-Westfalen),https://www.skiresort.info/ski-resort/alpenpark-neuss/,110.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,37.0,European Euro,1.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,fjaellby-bjoerkliden,Europe,Sweden,Northern Sweden (Norrland),https://www.skiresort.info/ski-resort/fjaellby-bjoerkliden/,920.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0,330.0,Swedish krona,2.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,laterns-gapfohl,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/laterns-gapfohl/,1785.0,8.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,21.0,European Euro,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,snowbasin,North America,USA,Utah,https://www.skiresort.info/ski-resort/snowbasin/,2850.0,5.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,115.0,US Dollar,3.1,3.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,areches-beaufort,Europe,France,Auvergne-RhÃ´ne-Alpes,https://www.skiresort.info/ski-resort/areches-beaufort/,2300.0,15.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.0,27.8,European Euro,3.3,3.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,mt-rose,North America,USA,Western United States,https://www.skiresort.info/ski-resort/mt-rose/,2957.0,12.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,90.0,US Dollar,3.4,3.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,yabuli,Asia,China,Heilongjiang,https://www.skiresort.info/ski-resort/yabuli/,1375.0,3.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,2.9,3.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,crystal-mountain-wa,North America,USA,Washington State,https://www.skiresort.info/ski-resort/crystal-mountain-wa/,2137.0,8.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,145.0,60.0,US Dollar,3.2,3.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,kolasin-1450kolasin-1600,Europe,Montenegro,0,https://www.skiresort.info/ski-resort/kolasin-1450kolasin-1600/,2035.0,20.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,20.0,European Euro,3.1,3.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,coronet-peak,Australia and Oceania,New Zealand,South Island,https://www.skiresort.info/ski-resort/coronet-peak/,1649.0,8.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,74.0,0.0,New Zealand Dollar,2.9,3.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,appi-kogen,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/appi-kogen/,1328.0,13.6,18.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,3500.0,3100.0,Japanese Yen,3.1,3.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,font-romeubolquere-pyrenees-2000,Europe,France,Occitania,https://www.skiresort.info/ski-resort/font-romeubolquere-pyrenees-2000/,2213.0,30.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,36.0,European Euro,3.3,3.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,luz-ardiden,Europe,France,Occitania,https://www.skiresort.info/ski-resort/luz-ardiden/,2500.0,25.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,32.0,0.0,European Euro,3.4,3.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,koktokay,Asia,China,Xinjiang,https://www.skiresort.info/ski-resort/koktokay/,3041.0,9.7,3.1,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,2.8,3.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,arkhyz,Russia,North Caucasus,Karachay-Cherkessia,https://www.skiresort.info/ski-resort/arkhyz/,2840.0,16.4,6.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,2.8,3.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,nozawa-onsen,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/nozawa-onsen/,1650.0,22.1,13.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,0.0,2900.0,Japanese Yen,3.1,3.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,gudauri,Asia,Georgia,Mtskheta-Mtianeti,https://www.skiresort.info/ski-resort/gudauri/,3276.0,4.6,19.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,Georgian Lari,2.9,3.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,melchsee-frutt-kerns,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/melchsee-frutt-kerns/,2225.0,20.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,42.0,20.0,Swiss Franc,3.0,3.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,timberline,North America,USA,Oregon,https://www.skiresort.info/ski-resort/timberline/,2603.0,8.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,97.0,67.0,US Dollar,2.9,3.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,cimone-montecretosestolale-polle,Europe,Italy,Emilia-Romagna,https://www.skiresort.info/ski-resort/cimone-montecretosestolale-polle/,1976.0,15.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,36.0,European Euro,3.3,3.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,thredbo,Australia and Oceania,Australia,New South Wales,https://www.skiresort.info/ski-resort/thredbo/,2037.0,15.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,99.0,95.0,Australian dollar,3.2,3.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,apache,North America,USA,New Mexico,https://www.skiresort.info/ski-resort/apache/,3475.0,12.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,99.0,US Dollar,3.3,3.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,mitterdorf-almberg-mitterfirmiansreut,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/mitterdorf-almberg-mitterfirmiansreut/,1139.0,2.5,1.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,19.0,European Euro,2.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,keilberg-klinovec,Europe,Czech Republic,ÃstÃ­ nad Labem Region (ÃsteckÃ½ kraj),https://www.skiresort.info/ski-resort/keilberg-klinovec/,1244.0,17.3,10.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,980.0,0.0,590.0,Czech koruna,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,buchensteinwand-pillersee-st-ulrich-am-pillerseest-jakob-in-haushochfilzen,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/buchensteinwand-pillersee-st-ulrich-am-pillerseest-jakob-in-haushochfilzen/,1456.0,8.0,10.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,31.5,22.0,European Euro,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,nesselwang-alpspitze-alpspitzbahn,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/nesselwang-alpspitze-alpspitzbahn/,1463.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,29.5,23.0,European Euro,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,monte-popolo-eben-im-pongau,Europe,Austria,Salzburg (Salzburger Land),https://www.skiresort.info/ski-resort/monte-popolo-eben-im-pongau/,1612.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,32.0,21.5,European Euro,2.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,feuerkogel-ebensee,Europe,Austria,Upper Austria (OberÃ¶sterreich),https://www.skiresort.info/ski-resort/feuerkogel-ebensee/,1625.0,6.5,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,28.8,19.5,European Euro,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,wanfeng-tonghua,Asia,China,Jilin,https://www.skiresort.info/ski-resort/wanfeng-tonghua/,960.0,12.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,470.0,350.0,Chinese Yuan,2.8,3.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,betelberg-lenk,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/betelberg-lenk/,2001.0,21.7,19.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,59.0,46.0,26.0,Swiss Franc,3.0,3.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,sainte-foy-tarentaise,Europe,France,Auvergne-RhÃ´ne-Alpes,https://www.skiresort.info/ski-resort/sainte-foy-tarentaise/,2620.0,10.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,25.0,European Euro,3.1,3.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,super-sauze,Europe,France,Provence-Alpes-CÃ´te dâAzur,https://www.skiresort.info/ski-resort/super-sauze/,2450.0,35.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,26.0,European Euro,3.6,3.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,hunter-mountain,North America,USA,New York,https://www.skiresort.info/ski-resort/hunter-mountain/,975.0,18.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,90.0,0.0,US Dollar,3.2,3.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,saint-lucchandolin-anniviers,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/saint-lucchandolin-anniviers/,2980.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,49.0,35.0,Swiss Franc,3.5,3.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,goldeck-spittal-an-der-drau,Europe,Austria,Carinthia (KÃ¤rnten),https://www.skiresort.info/ski-resort/goldeck-spittal-an-der-drau/,2142.0,8.0,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,34.0,22.0,European Euro,2.8,3.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,les-karellis,Europe,France,Auvergne-RhÃ´ne-Alpes,https://www.skiresort.info/ski-resort/les-karellis/,2520.0,26.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,26.1,23.6,European Euro,3.4,3.7,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,hakuba-iwatake-mountain-resort,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/hakuba-iwatake-mountain-resort/,1289.0,25.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,0.0,2800.0,Japanese Yen,3.2,3.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,chaeserrugg-unterwasseralt-st-johann-toggenburg,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/chaeserrugg-unterwasseralt-st-johann-toggenburg/,2262.0,8.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,60.0,35.0,Swiss Franc,3.3,3.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,happo-one-hakuba,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/happo-one-hakuba/,1831.0,16.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,3200.0,Japanese Yen,3.3,3.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,voss-resort,Europe,Norway,Western Norway (Vestlandet),https://www.skiresort.info/ski-resort/voss-resort/,964.0,25.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,370.0,0.0,Norwegian krone,3.1,3.4,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,mount-washington,North America,Canada,British Columbia,https://www.skiresort.info/ski-resort/mount-washington/,1588.0,12.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,99.0,58.0,Canadian Dollar,3.4,3.7,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,tamarack-resort,North America,USA,Idaho,https://www.skiresort.info/ski-resort/tamarack-resort/,2347.0,12.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,65.0,48.0,US Dollar,3.0,3.3,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
